question,answer,grounding_reference
How many working days in advance should Earned Leave be applied for?,"Earned Leave should be applied for at least 5 working days in advance, except in emergencies.",HR-POL-008_Leave_Policy.docx
When is a medical certificate required for Sick Leave?,A registered medical practitioners certificate is required when Sick Leave exceeds 3 consecutive working days.,HR-POL-008_Leave_Policy.docx
Which leave types are encashed during separation?,"Unutilized Earned Leave, subject to the accumulation cap, is encashed at basic salary at the time of separation. Casual Leave and Sick Leave are not encashed.",HR-POL-008_Leave_Policy.docx
What happens if an employee is absent without approved leave for more than three consecutive working days?,Absence without approved leave for more than three consecutive working days is treated as unauthorized absence and may attract disciplinary action.,HR-POL-008_Leave_Policy.docx
Can temporary work-from-home be considered during medical recovery?,"Yes. Temporary work-from-home during medical recovery may be considered, subject to medical fitness.",HR-POL-008_Leave_Policy.docx
Who is eligible for remote work?,"Remote work applies to confirmed employees whose roles are suitable for remote or hybrid work and are approved by the BUH and HR. Employees on probation, under PIP, or under disciplinary review are excluded unless explicitly approved by the CHRO.",HR-POL-009_Remote_Work_Policy.docx
What are the eligibility conditions for remote work approval?,"Employees must have at least 6 months of confirmed service, an Overall Performance Rating of 3 or above, and no active disciplinary action or PIP.",HR-POL-009_Remote_Work_Policy.docx
What approval is required for more than two days per week of remote work?,More than 2 days per week or full remote work requires joint approval from the CHRO and COO.,HR-POL-009_Remote_Work_Policy.docx
What are the core availability hours for remote work?,Core availability hours are 10:00 AM to 5:00 PM IST on all working days.,HR-POL-009_Remote_Work_Policy.docx
What is the internet reimbursement cap for remote work?,"Internet reimbursement is capped at INR 1,500 per month, subject to valid bills and Finance approval.",HR-POL-009_Remote_Work_Policy.docx
